10_0014 我又怎么会喜欢你啰
26_0016 讲你两句你还要骂老子啊
03_0010 全是这个空话
06_0063 一条路没走到头怎么知道对与错呢
13_0002 对我欠你的以前是我鬼迷心窍
17_0021 我们又让这个家伙带进去了啊
27_0048 前一阵时间游俊叫了我在四季花城社区搞这个什么摊贩管理
23_0012 我从来不大崽的我崽做错了事就好好教育一下就可以了
27_0044 之后想起前一阵我娘搞那个肛肠科被骗了五千块钱我就脑壳痛
26_0011 你坐我这里啰看我这里有垫子好舒服
04_0052 真的觉得为了老百姓做了实事
23_0045 记得啊拖走啊垃圾
27_0013 嗯有的人讲是吧胜者为王这个胜它是叫胜利的胜我觉得的嘞是剩下的剩
26_0026 到底有人可以跟我说一下不现在长沙市哪里去得了哪里去不了
06_0055 也是这一件事情就是我晓得这些东西学到这些东西了解这些东西参悟了这些东西
26_0036 啊等下书的没读得进一回去爸妈说你喊你去读书你要去喂猪是不啰
07_0035 那医院进去说不定就是个无底洞了啊
24_0011 打流第一线今天就要出来站着晓得不站在这个街边站一下晓得不
03_0045 我还没反应过来这个事情因为我眼睛看到他们俩在干什么所以我没有往别的方面去想
14_0004 土包子一样的这贵什么啰
08_0005 你还是要过去看一下啦
14_0027 那些艰苦日子噻我要衡量他们底线到底如何
21_0025 这个世界上就没有免费的事情
03_0015 我给你们看个东西咯你们就知道到底为啥要出来摆地摊这些东西了
11_0030 我真的不想骗你这都是因为我那个爸爸噻他一直就反对我找个外地媳妇
25_0042 然后就是我老公的话也还是对我比较好
15_0003 哎呦到这个时候了她跑到哪里去了吧
19_0008 2023年要做一个不一样的自己加油拜拜
02_0040 对啊就是为东或者是讲做东都可以啊
19_0026 也不能说她啰每个人求的东西不一样
26_0032 好冷嘞真的好冷
06_0039 就好比在我们国家清朝末年的时候
19_0029 男的看女的跟女的看女的真的是好不相同啊
23_0020 哎呦紧张什么啰
17_0026 在爸爸面前你就千万不能够说他武断啦
25_0003 那天晚上朋友约了一起去唱歌本来是十点半就要去的结果加个班搞到十一点半
09_0008 那你也不能够翻脸跟翻书一样快啦
03_0105 生下来在这个世界上来探险啊
03_0043 这个扣背隔着衣服扣可能是不怎么止痒还是怎么
25_0064 快要过年了可以多放几天假然后今年好像不用值班
02_0009 那边不发达一些是不吃的也好吃些
19_0049 金窝银窝不如自己的狗窝
20_0059 你这搞什么啰老板都记不住
05_0017 所以讲我今天最好是把我们亲戚啊他们几兄弟都约到一起去看外公外婆是最好的
09_0027 啊要我帮忙啊
02_0037 但是不知道是这个不我搞不清
25_0069 然后邀请我一起做应援扇
23_0055 哎呀就在这里讲就是了这里又没外人
20_0040 我也不好按喇叭等下吓到他吓倒了我也要负责啦
08_0020 我不是肯定我是自信
04_0040 你们想干什么啰未必这些年月做了这些坏事做错了事情你未必觉得我他妈的还可以瞒混过去啊
19_0004 她说我们老板觉得你不好控制不好控制我上个班打个工你要控制我干什么
25_0067 可能我们还准备一起去常德玩一天所以还比较期待
03_0086 首先一个我不知道你说的这段历史是真的还是假的啊
26_0029 干什么啊乡下来的人啊
03_0037 我是不应该说些这些的
02_0007 很了不起很牛逼牛
11_0019 你没看见我都魂不守舍的
26_0005 嗯嗯好先挂了啊我喝酒嘞
15_0022 这有什么不好相处下去呢身正不怕影子斜
21_0021 你本来就是约了别人吃饭别人吃完饭了为什么不能走嘞
19_0001 除非我每天不呼吸差不多啊那女人们看你不顺眼怎么办嘞
08_0007 唉呀你你们别叹气好不你们总要想个办法不能看着妈妈这样下去不
20_0005 哎呀你手气好啊赢了你一个啰
11_0032 我的心里装不下别人只有你
04_0025 我总觉得我这个身体里面有这个强大的使命感驱使着我让我给大家下粉吃啊
10_0011 嘶我非常喜欢一个女人
19_0036 很阳刚的样子那也不见得是帅气吧哈哈
13_0008 在这里过就在这里过
06_0060 所以人就很迷茫很徘徊但是我也会努力的去把这些事情去处理好
17_0008 你自己讲了啦
25_0027 所以嘞确实当时还是很累当然我婆婆还有我公公啊都一起帮我带唉还是非常幸福的啰
27_0027 习惯就成为了你的个性有了一定的个性良好的个性良好的习惯你就会成功
17_0024 你就千万不要说爸爸武断啊
17_0023 我听说不让你当家了我当然心里好高兴不
26_0050 蠢得死不啰
20_0080 她说这个男的号称一米七一米六五都没有
08_0014 我不去
09_0005 不是要你摆平他这个人嘞
02_0045 不叫绵钱是主动孝敬你们两位的
06_0001 你刚刚问我我的人生中最开心的事情是什么
02_0038 我们那个时候一讲就是打佣堂啊
25_0016 因为之前我外公让我有时间多去看一下他多带他出去就是带他出去玩一次
04_0030 今天这家是这个有使命感的是粹记的老板
12_0023 晓得不已经成实事了解释什么嘞
27_0021 这个第二代伟人我们领导人把这个政策一下来我们可以说是先富裕
12_0010 那你讲你想怎么办我全听你的好不
12_0011 怎么喊分手就分手啰早两天两个人还爱的死去活来的
07_0033 哦是的是的是的
03_0078 别一直站在岸上问河边的人为什么不下去游泳
23_0013 哦小丽妈妈你好你好
12_0020 我活着还有什么意思啰
22_0017 我对做妓女的没有看法
27_0047 要他别去搞检查他要去搞他硬要去搞被骗了骗了五千二
26_0018 我真的会妈的操嘞
06_0012 不仅仅是有我们中国我们祖国的这种发展的可能性我看到了更多的世界上的包括比较发达国家的一种发展可能性
16_0005 你跟我娘都已经是过去式了你们那一页已经翻完了
26_0070 是谁再过六一啊是谁在过六一啊
20_0048 祝大家早日找到心仪的工作包括我
03_0035 所以我们从小就要灌输我们的小朋友就要养成这个意识--命要抓在自己手上
10_0003 严子华喜欢桂花这就随便哪个人都想不到啦
09_0013 他们两个人要怎么样才能见到面啊还不是你和你女朋友吵架他们就见到面了
20_0031 你真的是我未必讲的不是你的好话啊你太敏感了一点吧我操
15_0005 孙子诶就算你是做好事帮爷爷去接丹丹也不会搞得一脸猫胡子一样的啦
13_0016 又不像你在外面搞什么鬼应酬
10_0015 要是刁子他们晓得我是自作多情误会了唉呀你看我这个脸又往哪里丢啰
06_0049 零几年的时候出国两千零几年两千零四年零五年那个时候出国的时候看到了更多的一些更好的生活条件
04_0037 你眼睛瞎了啊
19_0010 未必我还真的去那里挂着说我去做技师啊我怕他们没命去享受我的天呐
24_0013 一定要放得开你不放的开你感受不到那个打流的那个快乐
08_0009 你这个妹子讲话怎么这么冲嘞
25_0031 其实我自己也成长了所以这是我最开心的事情
15_0023 只要在理我畏它个什么什么都不畏无所畏惧
09_0023 他是我老弟啊
04_0008 说不定我们还真的给你介绍两个客户啊
19_0045 你蒙了只知道看美女连个电梯都不按了你要跟她回去哦
04_0047 如果这个事情发生在你们自己的崽女身上看看你们会怎么做啊
26_0059 我不晓得到底是什么原因让你从三十七八度一下子降到二十七八度
07_0004 这个事情要补偿点给她啦
09_0030 昨天是我做错了是我不应该
25_0015 我外公去世这是最难过的事
12_0005 你想想看啰我们家里四个儿子现在有两个唱了霸王别姬了
06_0059 所以又变了一个反面这些事情往往让我开心现在又让我觉得不开心
16_0002 他还把妈妈比作他心中的女皇妈妈讲的话就是圣旨
03_0001 这现在到底是几月啦
25_0066 我常德一个玩的非常好的朋友马上要回来过年然后过年可以跟她一起玩
20_0066 我上次在街上看到一个跟她造型都很相似的我都心里噗通噗通天呐啧啧啧唉有阴影
03_0083 因为我这个人有脾气我就要发出来我赌不住气我赌气了我睡不着觉
03_0087 你可以说我无知也可以说我书读的少了不讲道理但是它就算是真的我也不承认
03_0018 如果可以的话不管是通过网络还是通过电视还是通过什么途径我们真的希望可以看到公开审判
19_0018 又输了
04_0051 那当时刚换的时候我们真的就觉得把那些人当菩萨在拜一样的
04_0022 我早上去吃粉就跟老板聊了一会天我问他老板今年什么时候开的门啊
04_0053 充100块钱放在这个卡里面你真的最少可以用23个月
20_0022 几个玩的好的打牌这有点个演技的可以让气氛变得更好一些
22_0024 好咯要的啰
26_0048 哈哈哈小妹子就是小妹子来我帮你拧开
01_0019 或者宣传地方文化的视频
13_0001 二婚嘞你怕二婚蛮光彩的啊
06_0013 这个可能性的意思就是我可以感受到这个世界还有更多的一种方式去生活有更多的生活模式
17_0004 呃支持那肯定支持
13_0010 哼我是个正人君子我不做这些小人事情
27_0042 这买的假烟的你妈妈的屎
13_0014 放手也是一种爱
11_0026 你这是侮辱我们保安的智商啦
09_0018 你说他的表姐是柳芳芳啊
22_0025 搞笑嘞
02_0004 咿啊这个事我没想到啊这么顺利
10_0001 没事我反正闲着也是闲着你先走啰
06_0058 我发现遇到了一些阻力遇到了一些不理解
19_0055 其实我乡里的我也没怎么进过城我175的男生也看的少嘞
06_0032 带来的一些冲击让我感受到心里比较憔悴
23_0030 但是我们留了一个悬念
22_0008 那时候生小孩有一个月的休息啦
14_0005 他未必真的是骗我们的啊
09_0010 刚才你那个女朋友打电话来了愿意跟你和好
23_0017 我们小时候不是打大的哦
25_0001 这几年最开心的就是49岁做了爸爸
09_0024 是这样缠着伴着它容易出问题
25_0041 就是我最高兴的事就是我现在嗯三十多岁吧然后就是还有一个比较幸福的家庭
26_0004 那个事我到时候去处理
20_0030 其实很多话那上面有了你就按照自己的话把它讲出来就可以了
02_0010 我作为长沙男人嘞也差不蛮多是这样的
12_0002 我们严加祖上的规矩不收外地媳妇请你原谅
07_0031 我主要是想我们两个人能够更亲热一点点
15_0006 我们这些没得文化的人会计较这么多
08_0021 这样身体才会慢慢的好起来晓得不
17_0020 所以我们的健康也随时受到了影响
16_0007 我现在过的很幸福
07_0027 跟她换药的时候看到她的脚一没红二没肿基本上都好了啦
10_0008 不过这个子华跟心巧离婚啊离婚的这么快这只怕里面有蹊跷不排除有这个可能啊
25_0063 还有作为娘来讲的话崽能够打个电话来啦那也可以开心半天不
12_0006 我们要跟他把好关啦老婆唉
03_0049 你看这是完犊子了不
04_0043 你们有这种行为你们就是教育界的耻辱
20_0036 我讲你眼睛不好那不会这个公司领导眼睛也不好吧
04_0039 再一个这个小朋友的家里家长怎么隔了几个钟头才知道这个事情
03_0011 还有人说你这个鬼不晓得过的多好出来摆什么鬼地摊子
24_0008 我跟我男朋友出门我们两个五一广场也不想去岳麓山也不想爬
18_0006 不是不是是我放屁
25_0011 结果那天吃多了槟榔有点拉肚子
15_0011 这实践证明我没错啦
02_0014 做好事啰你呀随做什么事情都是溏麻鸡屎热不得三分钟
15_0004 真的操心啊唉
02_0026 比如说我可以看到有人站在路上骂娘
20_0052 那跟他说10句不回一句哎呀你蛮狂啦美女跟你说话你还鬼一样的
26_0045 你反正是把嘴巴一闭坐在家里要饭吃
04_0036 他说这个老师也是一个受害者我操你的他动手打了这个小孩他受到了什么伤害咯
03_0090 还说什么屁日本人在长沙经营了一年多长沙话就受到了日语的影响
25_0014 当时家里面也帮了搞饭然后很热闹嘛很多人来祝贺
19_0024 这后面离职的时候我就请他们吃饭
20_0077 事情的起因呢是她的叔伯奶奶看她的年纪到了就说我给你做个介绍啰
23_0007 在坐在网吧里面玩了一天才回去啰
06_0052 每件事情都是有A面有B面也有正面有反面
24_0017 因为大家都是一样的
02_0022 我路过那个地方的时候经常会想起我外公
20_0025 别福我的啰爱爱
13_0004 只要你跟我复婚我随便什么条件都答应你
26_0044 你骑在你爸头上都可以啊有什么不可以啰
20_0062 调个6点40的脑子到9点上班到6点40正经坐在这个门口
25_0034 嗯那个时候整个人的话状态都不行嗯而且就是感觉对生活上面好像没有什么意义一样的
07_0009 啊她即便有个三长两短医院里面它会有办法撒
14_0022 这是玉米吧
05_0007 我一直期待的事情终于发生了心里感觉乐开了花
21_0009 这就真的是乡里的广播没听说过
25_0002 妹子考取了大学那也开心一点
27_0023 如果是没有还是像原来那样的我们就不可能
03_0089 你要承认你就自己承认别拖的我们长沙人一起哦
27_0019 要感谢的嘞是我们国家是吧当然改革开放了是吧
21_0014 跟你们说啰像我这种长相的妹子你乍的一看你就会觉得不蛮好看
09_0033 你是没文化嘞
16_0018 妈妈在外面喊了一桌饭要你们一起去吃
19_0022 你又不喜欢他你收了他的鞋子干什么啰
20_0069 他说你来啰好吃就是好吃不好吃就是不好吃他还有分店他说这点自信还是有的
01_0012 因为我考虑的是我一个长沙土著在长沙跟大家聊长沙那用长沙话是很自然的一件事情
25_0040 就是我 自己直接讲是不
14_0025 既然你这样会精打细算啊那之前为什么要买那么贵的礼物送个爸爸妈妈呢
23_0028 组织一个这个巡逻队
17_0017 差别这么大
25_0023 原来在一起的时候嘞别人都觉得不可靠现在呢每个人都竖大拇指
04_0057 我们先不管是不是造谣这个事情
03_0012 这自己过的好不好只有自己知道
25_0043 然后的话有两个小朋友啊然后的话也算家庭比较美满比较幸福啰
06_0014 然后也体会到了一些现代化
11_0012 你你刚刚说什么啊
06_0031 与父辈们的这些思维上的出入思维上的不同
08_0001 那你还有心情在这里削苹果嘞
20_0051 那我就看见了就不记得长什么样子了
18_0007 啊中午我吃中饭我买了一个就学校里的盖码饭
08_0019 妈妈那你喝点水好不
03_0017 新闻刚刚报道了这三个畜生没得跑了绝对没得跑了
14_0019 我们觉得花点钱买点健康也还是值得的啰
15_0017 什么没讲错啰上梁不正就下梁歪
02_0034 教脑壳我觉得就是叫鸡公的那个叫
23_0001 丽妹子那你就要想清楚了啊
22_0001 从小就是太平街这里长大的啊
03_0060 有预制菜的饭店我才进去吃饭没有预制菜的饭店我不吃
23_0011 哎呦这是中国的传统笤刷子打人
04_0015 我们这湖南的男人走在外面还被你欺负上了啊
07_0022 你车子撞了别人你把他带到医院里去撒你把他带到家里干什么
10_0017 一盒这个盒饭就把你感动的鬼一样的
25_0045 嗯就是我现在觉得比较高兴的事
23_0032 我现在就想知道你们三个是怎么样抓到的
16_0011 嗯但是她好犹豫的
03_0097 你们来害我们害我们这些成年人伢唉我们这些成年人随你们害我们反正已经被得这样了无所谓了
03_0048 这个人舒服到一定程度的时候他那讲话的语气和调调和平时就肯定不一样了
26_0019 你谈爱就算了你食堂谈爱也可以你那个脚可以不放到你男朋友腿上不
20_0014 嗯我说可以啰帮助了别人
02_0018 其实没别的就是敏感
25_0010 我那天在银行里去了一千八百块钱晚上准备去唱歌的
19_0048 我有时候觉得你们有些人噻好有趣的
06_0011 用现在的话说就是我从小就看到了在我读初中的时候我初中毕业后面到了美国
20_0023 这个牌周润发来的都会要难产还不知道怎么施工
06_0009 不仅仅是在我们长沙这个小城这个城市里面这个圈层里面的可能性
26_0024 哈哈你别那种大你十七八岁的都喊姐姐好不
10_0009 明天就明天再等一天反正我也不会馊了
07_0010 这个柳芳芳是不是有别的想法哦
25_0028 但是妹子确实一出生呢好多好多的事情就都来了但是每天都看到小朋友啊确实是好开心的
19_0044 嘿嘿没没没
09_0026 哎你记得头一时间你吵架要记得通知我哦
25_0019 开心的事就是我家里妹子每天不用上午不管是放学还是怎么的不需要我跟她辅导学习
03_0056 这个央视新闻都天天在这里报导这个预制菜我为啥一直想不通它硬是要进学校进幼儿园是为什么
12_0026 你做丈夫要维护一个男人的尊严
13_0003 芳芳我随便是什么都可以
15_0013 哪里不清楚啰
21_0001 我发现啰这老班子人说的这些长沙话有些听不懂嘞
06_0037 永远就是清醒的人才是痛苦的
12_0016 哪里啰我这不都是为了你
23_0047 这从边城回来了多久啰又跑到西藏去了
10_0019 我爱死你了
03_0019 你让他们看一看他们如果明天做出了什么出格的事情他们会要承担什么后果
12_0024 你这是何苦啰
03_0041  这个前面的美女可能是背痒喊他老公帮她抠一下背
02_0039 这个人横去只是他问别个啊我又来考你一个啰
27_0054 每天坐地铁上班大概坐个一个小时的地铁
06_0021 体会到了这些社会上面比较发达国家的这些社会体制和福利
11_0017 哼还搞定彻底散场了嘞
06_0017 可以给我人生的当中的一种经历让我感受到了一种自我养成
26_0020 不是说放不了你那个脚好臭的嘞
22_0002 脑袋上面套个三角裤就是警察啊
21_0017 我觉得蛮好的就是这样的本来妹子就应该要矜持要自尊自爱不
01_0008 全是的老口子出现这种情况是真的很不应该
10_0004 芳芳那就不光是一餐饭啦
11_0037 反正就是把我们的关系跟我家里明确不然后再把你带到我家里去好不
27_0025 我们人的思维一定是决定了你的行为
26_0002 嗯嗯嗯好好好
19_0051 来值了吧别傻啰
25_0052 比较难过这就是我比较难过的事
21_0016 以前别人说长沙妹子不接不送不出门要吃要玩要回家
21_0020 我觉得好像是说这个妹子出来吃饭就不应该回去一回去就等于是说嘴巴一擦就跟没吃一样的
07_0007 哦搞来搞去你当医生我当护士
06_0046 也就是用长沙话来讲有劲你用不出去
03_0059 如果这个事情是国家战略方针上面的事情反正我表态我从今天开始天天吃餐餐吃
26_0006 摩的摩的美女啊坐摩的不啊
17_0013 我总算晓得了
20_0026 我再也不打牌了我还打牌我就直播吞手机
02_0043 把浮筒勒上点勒下点
07_0042 又有什么事情啰
15_0016 听见没听见没啊
17_0006 你放心我绝对力挺你
06_0024 嗯我就分析到这里
05_0004 所以今年很伤心今年
04_0010 如果你讨卵嫌那不好意思你就算活到200岁别人要怼你还是要怼你
02_0001 吃长沙市最韵味的一碗面 
05_0014 脸色也比原来要好些了
02_0035 那我觉得不对应该叫做信估
23_0018 我什么时候答应了咯
25_0030 嗯整个人的话都变得非常有爱心啊而且的话对我的家人的话也是非常关心的
09_0012 你还偷听你鬼鬼祟祟的干什么啊
26_0053 哦呦这上个月发工资了啰
09_0014 哎呦你冷静一点啰
04_0048 可耻
25_0022 我家里老公吊儿郎当但是呢特别的细心特别的体贴
16_0013 你是家里的天王老子啊
06_0029 因为与实际情况不相符
19_0027 我跟我这个玩的好的我晓得她是这种人的时候我说你别去理她他又疯狂的给她送东西啊
03_0065 学校里面的食堂吃的东西如果有问题我们还可以找食堂负责人再不然就是学校负责人是不还能找得到人
20_0001 后面昨天我去看我妈妈打牌我觉得多少是有点遗传了她的
05_0018 所以讲今天刚好在游俊上班这里陪他上班都在这里
03_0039 昨天我做公交车出去我的前面就做了一对夫妻
27_0037 嗯马上就要期末了考一个很好的成绩开开心心过年
03_0014 经常跟你们说嘞我看着自己都想哭你们还一点都不相信
26_0012 你走啰走啰来啰上车啰
20_0054 喊冷公子不得了了是吧鬼样子是吧不理我啊哼
04_0059 他就正儿八经一天能吃78顿饭他把饭当作零食来吃没事就吃两碗饭他有的时候饭下酒有时候就下饭
20_0003 我这牌好差这是什么破牌啰没屁用
03_0099 不晓得是那个城市哪个学校幼儿园啦小学啦居然让预制菜进了学校给小朋友吃
13_0013 我当然要讲我不讲我跑过来干什么
25_0035 但是经过后来的帮助啊还有嗯朋友们的一些关心所以后面还是慢慢的做出来了
06_0035 运用在回国之后运用在实际的工作当中我已经把学到的这些东西进行了改良
04_0006 搞得从我这里经过我看也不是不看也不是
01_0004 怎么说呢这个东西确确实实也比较有趣
23_0029 三个人一起齐心协力抓了一个这个贼
09_0017 哎我有点我好奇怪的嘞你怎么天天盼着我和我女朋友吵架啊
03_0103 等我们当了父母了就让我们一个两个三个使劲生了去
12_0022 你缺德你缺大德
07_0039 肢体语言还是够亲热了
22_0012 只要你喜欢就要得
25_0036 等一下我我还没想好
20_0083 好多就是因为不好拒绝就把自己卡的要死
12_0025 那好那以后你们生活中有什么问题那你们自己负责啊
06_0010 是世界上更多的多元化的可能性我可以看到这个世界是什么样的
19_0023 你喜欢吃的东西他愿意花钱买了给你吃我就很感动啦
03_0063 这能中标的就是那几个人啊手腕最粗的那几个是不
26_0054 你个小保安你还要好多钱啰
01_0013 但是他们告诉我啊有很多不是本地的朋友啊他们可能会听不懂
03_0072 这到时候好也是你坏也是你我们对你没有一点办法
06_0057 但是回到我的开始的那个起点
26_0031 谁教你的这么没教养
03_0004 爸爸你未必怕冷啊
03_0038 为了大家以后少一点这个误会还是要在这里提醒一下大家
05_0002 所以说他今年考博士有点不蛮顺
07_0029 爸爸心亮跑过来他到底是干什么的哦
04_0028 我说你是这样我粉刚吃完你再给我下一碗轻挑带杏干啰我吃不下都要敬你一碗
07_0032 不走就不走啰她吃的了多少
02_0025 我很庆幸这些地方还在而且跟我小时候是一模一样的
19_0003 我讲如果在我的工作范围内我工作没完成的话我觉得加班我可以啊我愿意啊
25_0033 当时他们的去世就是只相隔一年当时的话确实是对我的打击还是非常大的
02_0024 所以我对北边的感情是很深很深的
20_0055 我讲帅哥唉加个微信啰
25_0021 崽现在十岁十岁半
18_0001 她真的是蛮厉害嘞我硬是怕了她
22_0004 伤筋动骨还有100天嘞
08_0013 我结过婚的啊我是正人君子啊
02_0027 特别有味道
17_0003 这个当家这个事情蛮具体嘞
08_0015 我没事我挺得住
26_0033 最近的长沙嘞我感觉只有中午可以出门活动
17_0019 我辛辛苦苦操劳这一辈子
06_0050 这个世界上我个人认为没有绝对开心的事情也没有绝对痛苦的事情
23_0008 你们两个这样教崽的方法是不对的
03_0069 一个食品药品监督管理局成立了这么多年了你看食品安全他可以杜绝到零吗
19_0019 你一个人吃的完吗这么瘦
23_0044 根本搞不赢
25_0008 正好我一扣呢手上有两块钱零钱我就往那个筒子里面一丢我说奶奶啊你进去啰我给你买了票
17_0029 你们嘞就别互相吹捧
27_0007 就想嘞自己下海过来做生意
21_0013 你要是连我电话都没有啊你就不配
19_0041 扎实上了4天班
23_0054 嗯呢她连声招呼都没打就走了
07_0018 我是想她是不是为了为了钱啊
26_0067 别落了啰六月份了嘞落了这么这么这么大的雨
17_0014 你只许州官放火就不许百姓点灯啦
16_0009 爸爸你这天王老子的生活跟以前那装孙子的生活没有什么区别啦
04_0007 她敞开了在外面
06_0016 所以呢这是让我比较开心比较欣慰的
21_0008 一个这个手机三折叠屏加价几万块钱还没得买
11_0029 我都魂不守舍的我不能够再没有你了
04_0023 我讲哎呀过年怎么不多休息两天嘞
11_0018 散了场了不可能吧
19_0025 那一下我脾气真的就来了我说你点噻我既然请你吃饭我还差了这点钱啰你只要吃的进随便你点
11_0004 别乱讲啰这是因为我的第二春来到了
07_0005 这就奇怪了不是讲脚痛的厉害怎么跑得比我还快些
05_0001 今年是2024年是我家里崽的本命年
25_0026 我妹子刚出生的时候确实是也是我自己带因为我老公的话在浏阳那边上班也不是每天都回来
02_0023 想起那个时候粉跟现在的味道好像都不一样的感觉
09_0028 哎呀我是笑你啊看不出里面的玄机嘞
03_0075 你们就一直问这些708090甚至00后为什么现在都不愿意生小孩了
04_0045 但是你们再怎么样也不能瞒着这个小朋友家里的父母啦
20_0050 不晓得姐妹们脸不脸盲但是我真的脸盲呗
25_0047 然后我的崽的话现在可能就是讲是比较叛逆的时候
17_0007 那怎么了啰
24_0018 你以为外面那些混的人模人样的过的蛮好啊
01_0005 有趣吧至少我当时听了觉得是比较有趣的
09_0009 还抱大腿你老妹有什么大腿啰
27_0041 老板你这搞得要的妈的你拿点全是假烟过来
